1536_row,1536_column,384_plate,384_row,384_column
6,23,2,4,21
6,24,2,4,23
6,25,3,4,1
6,26,3,4,3
6,27,3,4,5
6,28,3,4,7
6,29,3,4,9
6,30,3,4,11
6,31,3,4,13
6,32,3,4,15
6,33,3,4,17
6,34,3,4,19
6,35,3,4,21
6,36,3,4,23
6,37,4,4,1
6,38,4,4,3
6,39,4,4,5
6,40,4,4,7
6,41,4,4,9
6,42,4,4,11
6,43,4,4,13
6,44,4,4,15
6,45,4,4,17
6,46,4,4,19
6,47,4,4,21
6,48,4,4,23
7,1,1,3,2
7,2,1,3,4
7,3,1,3,6
7,4,1,3,8
7,5,1,3,10
7,6,1,3,12
7,7,1,3,14
7,8,1,3,16
7,9,1,3,18
7,10,1,3,20
7,11,1,3,22
7,12,1,3,24
7,13,2,3,2
7,14,2,3,4
7,15,2,3,6
7,16,2,3,8
7,17,2,3,10
7,18,2,3,12
7,19,2,3,14
7,20,2,3,16
7,21,2,3,18
7,22,2,3,20
7,23,2,3,22
7,24,2,3,24
7,25,3,3,2
7,26,3,3,4
7,27,3,3,6
7,28,3,3,8
7,29,3,3,10
7,30,3,3,12
7,31,3,3,14
7,32,3,3,16
7,33,3,3,18
7,34,3,3,20
7,35,3,3,22
7,36,3,3,24
7,37,4,3,2
7,38,4,3,4
7,39,4,3,6
7,40,4,3,8
7,41,4,3,10
7,42,4,3,12
7,43,4,3,14
7,44,4,3,16
7,45,4,3,18
7,46,4,3,20
7,47,4,3,22
7,48,4,3,24
8,1,1,4,2
8,2,1,4,4
8,3,1,4,6
8,4,1,4,8
8,5,1,4,10
8,6,1,4,12
8,7,1,4,14
8,8,1,4,16
8,9,1,4,18
8,10,1,4,20
8,11,1,4,22
8,12,1,4,24
8,13,2,4,2
8,14,2,4,4
8,15,2,4,6
8,16,2,4,8
8,17,2,4,10
8,18,2,4,12
8,19,2,4,14
8,20,2,4,16
8,21,2,4,18
8,22,2,4,20
8,23,2,4,22
8,24,2,4,24
8,25,3,4,2
8,26,3,4,4
8,27,3,4,6
8,28,3,4,8
8,29,3,4,10
8,30,3,4,12
8,31,3,4,14
8,32,3,4,16
8,33,3,4,18
8,34,3,4,20
8,35,3,4,22
8,36,3,4,24
8,37,4,4,2
8,38,4,4,4
8,39,4,4,6
8,40,4,4,8
8,41,4,4,10
8,42,4,4,12
8,43,4,4,14
8,44,4,4,16
8,45,4,4,18
8,46,4,4,20
8,47,4,4,22
8,48,4,4,24
9,1,1,5,1
9,2,1,5,3
9,3,1,5,5
9,4,1,5,7
9,5,1,5,9
9,6,1,5,11
9,7,1,5,13
9,8,1,5,15
9,9,1,5,17
9,10,1,5,19
9,11,1,5,21
9,12,1,5,23
9,13,2,5,1
9,14,2,5,3
9,15,2,5,5
9,16,2,5,7
9,17,2,5,9
9,18,2,5,11
9,19,2,5,13
9,20,2,5,15
9,21,2,5,17
9,22,2,5,19
9,23,2,5,21
9,24,2,5,23
9,25,3,5,1
9,26,3,5,3
9,27,3,5,5
9,28,3,5,7
9,29,3,5,9
9,30,3,5,11
9,31,3,5,13
9,32,3,5,15
9,33,3,5,17
9,34,3,5,19
9,35,3,5,21
9,36,3,5,23
9,37,4,5,1
9,38,4,5,3
9,39,4,5,5
9,40,4,5,7
9,41,4,5,9
9,42,4,5,11
9,43,4,5,13
9,44,4,5,15
9,45,4,5,17
9,46,4,5,19
9,47,4,5,21
9,48,4,5,23
10,1,1,6,1
10,2,1,6,3
10,3,1,6,5
10,4,1,6,7
10,5,1,6,9
10,6,1,6,11
10,7,1,6,13
10,8,1,6,15
10,9,1,6,17
10,10,1,6,19
10,11,1,6,21
10,12,1,6,23
10,13,2,6,1
10,14,2,6,3
10,15,2,6,5
10,16,2,6,7
10,17,2,6,9
10,18,2,6,11
10,19,2,6,13
10,20,2,6,15
10,21,2,6,17
10,22,2,6,19
10,23,2,6,21
10,24,2,6,23
10,25,3,6,1
10,26,3,6,3
10,27,3,6,5
10,28,3,6,7
10,29,3,6,9
10,30,3,6,11
10,31,3,6,13
10,32,3,6,15
10,33,3,6,17
10,34,3,6,19
10,35,3,6,21
10,36,3,6,23
10,37,4,6,1
10,38,4,6,3
10,39,4,6,5
10,40,4,6,7
10,41,4,6,9
10,42,4,6,11
10,43,4,6,13
10,44,4,6,15
10,45,4,6,17
10,46,4,6,19
10,47,4,6,21
10,48,4,6,23
11,1,1,5,2
11,2,1,5,4
11,3,1,5,6
11,4,1,5,8
11,5,1,5,10
11,6,1,5,12
11,7,1,5,14
11,8,1,5,16
11,9,1,5,18
11,10,1,5,20
11,11,1,5,22
11,12,1,5,24
11,13,2,5,2
11,14,2,5,4
11,15,2,5,6
11,16,2,5,8
11,17,2,5,10
11,18,2,5,12
11,19,2,5,14
11,20,2,5,16
11,21,2,5,18
11,22,2,5,20
11,23,2,5,22
11,24,2,5,24
11,25,3,5,2
11,26,3,5,4
11,27,3,5,6
11,28,3,5,8
11,29,3,5,10
11,30,3,5,12
11,31,3,5,14
11,32,3,5,16
11,33,3,5,18
11,34,3,5,20
11,35,3,5,22
11,36,3,5,24
11,37,4,5,2
11,38,4,5,4
11,39,4,5,6
11,40,4,5,8
11,41,4,5,10
11,42,4,5,12
11,43,4,5,14
11,44,4,5,16
11,45,4,5,18
11,46,4,5,20
11,47,4,5,22
11,48,4,5,24
12,1,1,6,2
12,2,1,6,4
12,3,1,6,6
12,4,1,6,8
12,5,1,6,10
12,6,1,6,12
12,7,1,6,14
12,8,1,6,16
12,9,1,6,18
12,10,1,6,20
12,11,1,6,22
12,12,1,6,24
12,13,2,6,2
12,14,2,6,4
12,15,2,6,6
12,16,2,6,8
12,17,2,6,10
12,18,2,6,12
12,19,2,6,14
12,20,2,6,16
12,21,2,6,18
12,22,2,6,20
12,23,2,6,22
12,24,2,6,24
12,25,3,6,2
12,26,3,6,4
12,27,3,6,6
12,28,3,6,8
12,29,3,6,10
12,30,3,6,12
12,31,3,6,14
12,32,3,6,16
12,33,3,6,18
12,34,3,6,20
12,35,3,6,22
12,36,3,6,24
12,37,4,6,2
12,38,4,6,4
12,39,4,6,6
12,40,4,6,8
12,41,4,6,10
12,42,4,6,12
12,43,4,6,14
12,44,4,6,16
12,45,4,6,18
12,46,4,6,20
12,47,4,6,22
12,48,4,6,24
13,1,1,7,1
13,2,1,7,3
13,3,1,7,5
13,4,1,7,7
13,5,1,7,9
13,6,1,7,11
13,7,1,7,13
13,8,1,7,15
13,9,1,7,17
13,10,1,7,19
13,11,1,7,21
13,12,1,7,23
13,13,2,7,1
13,14,2,7,3
13,15,2,7,5
13,16,2,7,7
13,17,2,7,9
13,18,2,7,11
13,19,2,7,13
13,20,2,7,15
13,21,2,7,17
13,22,2,7,19
13,23,2,7,21
13,24,2,7,23
13,25,3,7,1
13,26,3,7,3
13,27,3,7,5
13,28,3,7,7
13,29,3,7,9
13,30,3,7,11
13,31,3,7,13
13,32,3,7,15
13,33,3,7,17
13,34,3,7,19
13,35,3,7,21
13,36,3,7,23
13,37,4,7,1
13,38,4,7,3
13,39,4,7,5
13,40,4,7,7
13,41,4,7,9
13,42,4,7,11
13,43,4,7,13
13,44,4,7,15
13,45,4,7,17
13,46,4,7,19
13,47,4,7,21
13,48,4,7,23
14,1,1,8,1
14,2,1,8,3
14,3,1,8,5
14,4,1,8,7
14,5,1,8,9
14,6,1,8,11
14,7,1,8,13
14,8,1,8,15
14,9,1,8,17
14,10,1,8,19
14,11,1,8,21
14,12,1,8,23
14,13,2,8,1
14,14,2,8,3
14,15,2,8,5
14,16,2,8,7
14,17,2,8,9
14,18,2,8,11
14,19,2,8,13
14,20,2,8,15
14,21,2,8,17
14,22,2,8,19
14,23,2,8,21
14,24,2,8,23
14,25,3,8,1
14,26,3,8,3
14,27,3,8,5
14,28,3,8,7
14,29,3,8,9
14,30,3,8,11
14,31,3,8,13
14,32,3,8,15
14,33,3,8,17
14,34,3,8,19
14,35,3,8,21
14,36,3,8,23
14,37,4,8,1
14,38,4,8,3
14,39,4,8,5
14,40,4,8,7
14,41,4,8,9
14,42,4,8,11
14,43,4,8,13
14,44,4,8,15
14,45,4,8,17
14,46,4,8,19
14,47,4,8,21
14,48,4,8,23
15,1,1,7,2
15,2,1,7,4
15,3,1,7,6
15,4,1,7,8
15,5,1,7,10
15,6,1,7,12
15,7,1,7,14
15,8,1,7,16
15,9,1,7,18
15,10,1,7,20
15,11,1,7,22
15,12,1,7,24
15,13,2,7,2
15,14,2,7,4
15,15,2,7,6
15,16,2,7,8
15,17,2,7,10
15,18,2,7,12
15,19,2,7,14
15,20,2,7,16
15,21,2,7,18
15,22,2,7,20
15,23,2,7,22
15,24,2,7,24
15,25,3,7,2
15,26,3,7,4
15,27,3,7,6
15,28,3,7,8
15,29,3,7,10
15,30,3,7,12
15,31,3,7,14
15,32,3,7,16
15,33,3,7,18
15,34,3,7,20
15,35,3,7,22
15,36,3,7,24
15,37,4,7,2
15,38,4,7,4
15,39,4,7,6
15,40,4,7,8
15,41,4,7,10
15,42,4,7,12
15,43,4,7,14
15,44,4,7,16
15,45,4,7,18
15,46,4,7,20
15,47,4,7,22
15,48,4,7,24
16,1,1,8,2
16,2,1,8,4
16,3,1,8,6
16,4,1,8,8
16,5,1,8,10
16,6,1,8,12
16,7,1,8,14
16,8,1,8,16
16,9,1,8,18
16,10,1,8,20
16,11,1,8,22
16,12,1,8,24
16,13,2,8,2
16,14,2,8,4
16,15,2,8,6
16,16,2,8,8
16,17,2,8,10
16,18,2,8,12
16,19,2,8,14
16,20,2,8,16
16,21,2,8,18
16,22,2,8,20
16,23,2,8,22
16,24,2,8,24
16,25,3,8,2
16,26,3,8,4
16,27,3,8,6
16,28,3,8,8
16,29,3,8,10
16,30,3,8,12
16,31,3,8,14
16,32,3,8,16
16,33,3,8,18
16,34,3,8,20
16,35,3,8,22
16,36,3,8,24
16,37,4,8,2
16,38,4,8,4
16,39,4,8,6
16,40,4,8,8
16,41,4,8,10
16,42,4,8,12
16,43,4,8,14
16,44,4,8,16
16,45,4,8,18
16,46,4,8,20
16,47,4,8,22
